吖 吩吟
吩 吖吟
吟 吖妗贪邻翎伶铃拎玲今冷令念怜吩领
阿 肟陟厕
厕 肟陟阿
肟 陟阿厕
啊 嗝呵眄啃
啃 嗝呵啊眄
眄 町呖嗝盯呵啊啃
锕 钙钶
钶 钙锕
嗄 嗫
嗫 嗄
哎 吱啵哗晔哮
哗 吱啵晔哮哎
吱 哎哗
哀 裒蓑衷袤亵衰猿衮
衮 裒哀蓑衷裹袤亵衰猿
袤 裒哀蓑衷裹亵衰猿衮
衰 裒哀蓑衷裹袤亵猿衮
衷 裒哀蓑裹袤亵衰猿衮
蓑 哀衷袤衰猿衮
猿 檬哀朦蓑赫衷袤菸衰蒹蒙蔗蕤曚衮
唉 啶唳畎递涕挨弟埃榆梯
啶 畎唉唳
唳 畎啶唉
畎 啶唉唳
挨 摈奏赉责递凑涕唉弟贵埃榆梯捩
捩 挨摈
捱 揠排
排 韭裴玩躯斐辈靠蜚俳菲虚捱徘偃珏虐悲扉揠非匪霏
揠 捱排
蔼 喁喝勘渴葛喟萄
葛 勘蔼淘陶掏萄
艾 芟孝芰芊芋
芊 芟孝苹茇芰艾芋
芋 芟孝苹茇芰芊艾
砹 破
破 鸨存跛皮郛波砹披彼玻菠被疲皱坡
爱 隼爰受援季委
隼 爰爱受援季委
爰 隼孚爱受援妥季委萎魏
受 隼俘孚爰爱援季妥委萎魏浮
援 隼爰爱受授缓捋挺暖
隘 险脸脞脱胙
脞 险脸脱胙隘
脸 坌俭拴揽脞胙险企佥隘验搓金捡全挫检签脱
脱 氖氚说险悦氘脸氛脞胙隘兑
碍 泣得碑拉
碑 脾泣得卑碍拉牌
得 泣俾碑碍傻拉
泣 沆主注垃得笠碑站碍立粒拉疒
拉 拄泣主垃得抗笠碑站碍立粒疒
嗳 暧暖
暧 暖嗳
暖 暧援授输缓捋载栽嗳
嗌 唑睑嗟噬
睑 唑嗌嗟噬昨
嗟 唑嗌睑噬昨
噬 睑嗌嗟
嫒 媛
媛 嫒
瑷 瑗
瑗 瑷
安 字宇
宇 安守字干吁迂于
字 安守宇
桉 弑梭
弑 梭桉
梭 唆俊弑焌浚骏逡峻悛桉竣
氨 龛
龛 詟陇贰垄赴越龚氨
庵 廛麾庖镜雍廑麈座庞嬴亮鹿境竟竞兖麂
麂 廛鏖竟麇雍廑糜麋廪鹿镜麈嬴境竞庵赢座亮羸蠃靡麾縻
竞 庵庖镜雍座庞亮鹿境竟兖麂
竟 庵廛麾庖镜雍廑麈座庞嬴亮鹿境竞兖麂
亮 庇庵庖镜雍庑应座庞鹿境竟竞兖麂
鹿 廛庖竟麇雍廑糜麋廪庞镜麈嬴境竞庵座亮麾兖縻麂
雍 廛鏖竟廑鹿镜麈嬴境竞庵赢座亮羸蠃靡麾麂
座 挫庵庖镜雍庞坐亮竺鹿境竟竞兖麂
俺 掩植淹奄奁直值
值 植奎俺置殖查直
埯 荭堪茫范菲莼埴茳菹茈
莼 荭堪茫范菲埴茳菹茈埯
茈 荭堪茫范菲莼埴茳菹埯
菲 翡瑟菹韭范茫裴玩莼埴排辈斐荭靠蜚徘珏埯堪悲扉非茳茈匪霏
荭 堪茫范菲莼埴茳菹茈埯
茳 荭堪茫范菲莼埴菹茈埯
堪 椹斟滢湛甚菹茫港渣淹莼埴耄苞戡荭溘菲巷埯茳勘茈
茫 荭堪范亡菲莼埴忙茳菹茈虻芒盲氓埯
埴 荭堪茫范菲莼茳菹茈埯
菹 荭堪茫范菲莼埴茳茈埯
铵 铽钹
钹 铽铵
铽 钹铵
揞 掊掂搐搪
搐 揞掊掂搪
掂 揞掊搐搪
掊 揞掂搐搪
搪 揞掊唐掂塘搐糖
岸 俘倭岌低後浮
低 底俘岌软岸後氐邸欠纸次氏欢抵炊砍仟饮欣坎吹
俘 孚季倭受妥委低岸後浮
後 俘倭低岸浮
按 拖拚拔拭托拨
拔 拖按拚拭托拨
拨 拖按拚拔拭托
拚 拖按拔拭托拨
拭 拖捷按挟拚揍拔托式拨睫试轼
暗 喑唁
喑 暗唁
昂 渴佝仞竭昴褐抑喝们角向彻揭仰迎伺碣罚偈遏佣曷
罚 偈褐遏揭喝昂渴竭碣昴曷
曷 偈褐遏揭喝昂渴竭碣昴罚
